INDICATOR,GEO_PICT,TIME_PERIOD,OBS_VALUE,OBS_VALUE_WINS
SL_TLF_UEM,VU,2009,4.33,4.33
SL_TLF_UEM,VU,2010,2.19,2.19
SL_TLF_UEM,VU,2019,6.99,6.99
SL_TLF_UEM,CK,2001,13.08,13.08
SL_TLF_UEM,CK,2006,8.93,8.93
SL_TLF_UEM,CK,2011,8.15,8.15
SL_TLF_UEM,CK,2016,0.79,0.79
SL_TLF_UEM,CK,2019,1.26,1.26
SI_POV_DAY1,SB,2012,31,31
SI_RMT_COST,TO,2011,11.93,11.93
SI_RMT_COST,TO,2015,8.34,8.34
SI_RMT_COST,TO,2017,9.54,9.54
SI_RMT_COST,TO,2018,9.44,9.44
SI_RMT_COST,TO,2019,9.37,9.37
SI_RMT_COST,TO,2020,9.78,9.78
SI_RMT_COST,TO,2021,9.82,9.82
SI_RMT_COST,TO,2022,9.2,9.2
SI_RMT_COST,TO,2023,8.45,8.45
BX_TRF_PWKR,PW,2005,0.77,0.77
BX_TRF_PWKR,PW,2006,0.8,0.8
BX_TRF_PWKR,PW,2007,0.76,0.76
BX_TRF_PWKR,PW,2008,0.8,0.8
BX_TRF_PWKR,PW,2009,0.84,0.84
BX_TRF_PWKR,PW,2010,0.9,0.9
BX_TRF_PWKR,PW,2011,0.99,0.99
BX_TRF_PWKR,PW,2012,1.09,1.09
BX_TRF_PWKR,PW,2013,1.05,1.05
BX_TRF_PWKR,PW,2014,0.91,0.91
BX_TRF_PWKR,PW,2015,0.82,0.82
BX_TRF_PWKR,PW,2016,0.79,0.79
BX_TRF_PWKR,PW,2017,0.83,0.83
BX_TRF_PWKR,PW,2018,0.8,0.8
BX_TRF_PWKR,PW,2019,0.84,0.84
BX_TRF_PWKR,PW,2020,0.88,0.88
BX_TRF_PWKR,PW,2021,0.8,0.8
BX_TRF_PWKR,PW,2022,0.76,0.76
BX_TRF_PWKR,PW,2023,0.69,0.69
SL_TLF_UEM,NU,2001,0.99,0.99
SL_TLF_UEM,NU,2017,0.74,0.74
SL_TLF_UEM,NR,2013,10.11,10.11
SL_TLF_UEM,FM,2013,20.3,20.3
SI_POV_DAY1,KI,2019,2,2
SI_POV_NAHC,KI,2019,23.3,23.3
SL_TLF_NEET,TO,2016,32,32
SL_TLF_NEET,TO,2018,29.01,29.01
SL_TLF_NEET,TO,2021,19.6,19.6
SL_TLF_NEET,TO,2021,15.5,15.5
SL_EMP_EARN,TO,2018,8.39,8.39
SL_EMP_EARN,TO,2018,8.31,8.31
SL_EMP_EARN,TO,2021,5.63,5.63
SL_TLF_UEM,FM,2013,22.3,22.3
SI_POV_NAHC,VU,2019,1.9,1.9
FB_BNK_ACCSS,FJ,2017,68.5,68.5
SL_TLF_UEM,TV,2015,6,6
SL_TLF_UEM,TV,2015,6.7,6.7
SL_TLF_UEM,NR,2002,8.61,8.61
SL_TLF_UEM,NR,2013,6.05,6.05
SL_TLF_UEM,NR,2021,3.34,3.34
GC_GOB_TAXD,TO,2013,53.37,53.37
GC_GOB_TAXD,TO,2014,47.79,47.79
GC_GOB_TAXD,TO,2015,54.03,54.03
GC_GOB_TAXD,TO,2016,54.55,54.55
GC_GOB_TAXD,TO,2017,52.13,52.13
GC_GOB_TAXD,TO,2018,55.28,55.28
GC_GOB_TAXD,TO,2019,54.21,54.21
GC_GOB_TAXD,TO,2020,55.07,55.07
GC_GOB_TAXD,TO,2021,46.47,46.47
GC_GOB_TAXD,TO,2022,45.07,45.07
GC_GOB_TAXD,TO,2023,49.31,49.31
SL_EMP_EARN,WS,2012,4.94,4.94
SL_EMP_EARN,WS,2017,4.69,4.69
SL_EMP_EARN,WS,2022,6,6
SL_EMP_EARN,WS,2012,8.73,8.73
SL_EMP_EARN,WS,2017,9.63,9.63
SL_EMP_EARN,WS,2022,11.18,11.18
SL_TLF_NEET,FM,2014,33.62,33.62
SI_POV_DAY1,TV,2010,4.7,4.7
SL_TLF_UEM,PF,2002,11.71,11.71
SL_TLF_UEM,PF,2007,11.74,11.74
SL_TLF_UEM,PF,2017,17,17
SPC_17_3_1,SB,2000,13.0283,13.0283
SPC_17_3_1,SB,2001,-9.3133,-5.1
SPC_17_3_1,SB,2002,-4.00199,-4.00199
SPC_17_3_1,SB,2003,-1.80069,-1.80069
SPC_17_3_1,SB,2004,5.68131,5.68131
SPC_17_3_1,SB,2005,18.58087,18.58087
SPC_17_3_1,SB,2006,44.29486,44.29486
SPC_17_3_1,SB,2007,86.02601,86.02601
SPC_17_3_1,SB,2008,74.95237,74.95237
SPC_17_3_1,SB,2009,48.57332,48.57332
SPC_17_3_1,SB,2010,165.92089,165.92089
SPC_17_3_1,SB,2011,120.16958,120.16958
SPC_17_3_1,SB,2012,23.89765,23.89765
SPC_17_3_1,SB,2013,53.36162,53.36162
SPC_17_3_1,SB,2014,21.69152,21.69152
SPC_17_3_1,SB,2015,31.59716,31.59716
SPC_17_3_1,SB,2016,38.60753,38.60753
SPC_17_3_1,SB,2017,42.8399,42.8399
SPC_17_3_1,SB,2018,24.83823,24.83823
SPC_17_3_1,SB,2019,30.13666,30.13666
SL_TLF_UEM,MH,2019,4.36,4.36
SL_TLF_UEM,MH,2021,11.53,11.53
SI_POV_NAHC,VU,2019,19.3,19.3
SL_TLF_UEM,FM,2013,16.2,16.2
SL_TLF_UEM,FM,2013,6.1,6.1
SL_TLF_UEM,TO,2018,1.5,1.5
SL_TLF_NEET,NC,2014,26,26
SL_TLF_UEM,TV,2015,64.4,64.4
SI_POV_NAHC,PW,2013,26.8,26.8
SL_TLF_UEM,TO,2021,4.7,4.7
SI_POV_DAY1,KI,2019,1,1
SI_POV_NAHC,PW,2013,23.4,23.4
SI_POV_NAHC,SB,2012,9.5,9.5
SI_POV_NAHC,PW,2013,26.3,26.3
SL_TLF_UEM,FM,2013,7.4,7.4
SL_TLF_UEM,SB,2012,6.9,6.9
SL_TLF_UEM,TO,2021,0,0
SL_TLF_UEM,WS,2001,15.46,15.46
SL_TLF_UEM,WS,2011,22.2,22.2
SL_TLF_UEM,WS,2012,25.34,25.34
SL_TLF_UEM,WS,2013,6.5,6.5
SL_TLF_UEM,WS,2014,25.34,25.34
SL_TLF_UEM,WS,2017,29.99,29.99
SL_TLF_UEM,WS,2022,23.3,23.3
NY_GDP_PCAP,CK,2000,18.4,18.4
NY_GDP_PCAP,CK,2001,8.3,8.3
NY_GDP_PCAP,CK,2002,5.1,5.1
NY_GDP_PCAP,CK,2003,3.9,3.9
NY_GDP_PCAP,CK,2004,1.9,1.9
NY_GDP_PCAP,CK,2005,-1.5,-1.5
NY_GDP_PCAP,CK,2006,4.5,4.5
NY_GDP_PCAP,CK,2007,-0.1,-0.1
NY_GDP_PCAP,CK,2008,-4.2,-4.2
NY_GDP_PCAP,CK,2009,-3.2,-3.2
NY_GDP_PCAP,CK,2010,-7.7,-5.1
NY_GDP_PCAP,CK,2011,-1.9,-1.9
NY_GDP_PCAP,CK,2012,-0.5,-0.5
